Date,Price,Open,High,Low,Vol.,Change %
11/5/2022,0.124469,0.126094,0.135591,0.122251,3.62B,-1.30%
11/6/2022,0.114755,0.124473,0.12752,0.11291,2.54B,-7.80%
11/7/2022,0.11121,0.114765,0.11897,0.108016,2.82B,-3.09%
11/8/2022,0.088311,0.11121,0.112465,0.078195,8.97B,-20.59%
11/9/2022,0.074228,0.088374,0.091945,0.070767,7.51B,-15.95%
11/10/2022,0.089723,0.074224,0.093836,0.073521,6.20B,20.87%
11/11/2022,0.085096,0.08972,0.092769,0.080232,3.40B,-5.16%
11/12/2022,0.08807,0.085067,0.094503,0.078578,4.89B,3.49%
11/13/2022,0.084993,0.088086,0.091381,0.083175,2.88B,-3.49%
11/14/2022,0.085879,0.084991,0.09093,0.079456,3.30B,1.04%
11/15/2022,0.08703,0.085879,0.089413,0.085163,1.84B,1.34%
11/16/2022,0.084883,0.08703,0.091109,0.083648,1.99B,-2.47%
11/17/2022,0.084787,0.084884,0.087207,0.082764,1.44B,-0.11%
11/18/2022,0.084285,0.085026,0.085901,0.083653,1.05B,-0.59%
11/19/2022,0.084529,0.084121,0.084957,0.08384,641.01M,0.29%
11/20/2022,0.077064,0.084521,0.085797,0.076582,1.55B,-8.83%
11/21/2022,0.074666,0.077082,0.077259,0.071512,2.42B,-3.11%
11/22/2022,0.078692,0.074668,0.07951,0.073346,1.91B,5.39%
11/23/2022,0.081978,0.078728,0.083464,0.077829,1.67B,4.18%
11/24/2022,0.081459,0.081976,0.084131,0.080554,982.58M,-0.63%
11/25/2022,0.08935,0.081459,0.091394,0.080777,3.26B,9.69%
11/26/2022,0.088904,0.089357,0.095262,0.087559,2.62B,-0.50%
11/27/2022,0.098519,0.088906,0.107755,0.08881,5.56B,10.82%
11/28/2022,0.095136,0.098537,0.099435,0.090785,4.31B,-3.43%
11/29/2022,0.101484,0.095139,0.104971,0.093712,3.85B,6.67%
11/30/2022,0.106775,0.10148,0.10982,0.10001,3.81B,5.21%
12/1/2022,0.101708,0.106775,0.107715,0.100512,2.50B,-4.75%
12/2/2022,0.102187,0.101708,0.103398,0.096942,2.06B,0.47%
12/3/2022,0.099595,0.102198,0.102899,0.0987,1.80B,-2.54%
12/4/2022,0.104097,0.099597,0.105412,0.099552,2.04B,4.52%
12/5/2022,0.101488,0.104139,0.111584,0.099575,2.70B,-2.51%
12/6/2022,0.100178,0.101484,0.102728,0.098121,1.51B,-1.29%
12/7/2022,0.09573,0.10019,0.101192,0.093419,1.79B,-4.44%
12/8/2022,0.098512,0.09574,0.099027,0.094852,1.30B,2.91%
12/9/2022,0.096684,0.098508,0.099272,0.095707,1.22B,-1.86%
12/10/2022,0.096385,0.096692,0.097361,0.09607,607.12M,-0.31%
12/11/2022,0.092725,0.096382,0.097117,0.092025,832.14M,-3.80%
12/12/2022,0.090281,0.092657,0.092987,0.085129,2.68B,-2.64%
12/13/2022,0.091023,0.090286,0.094664,0.087269,2.30B,0.82%
12/14/2022,0.088211,0.091038,0.092372,0.087642,1.78B,-3.09%
12/15/2022,0.08479,0.08822,0.088779,0.084204,1.30B,-3.88%
12/16/2022,0.075783,0.08479,0.086787,0.074476,2.64B,-10.62%
12/17/2022,0.079213,0.075821,0.079417,0.075551,1.99B,4.53%
12/18/2022,0.078437,0.079212,0.080041,0.077641,944.00M,-0.98%
12/19/2022,0.07136,0.078437,0.07946,0.070279,2.42B,-9.02%
12/20/2022,0.074852,0.071364,0.075388,0.071166,1.63B,4.89%
12/21/2022,0.073729,0.074852,0.07502,0.071591,1.44B,-1.50%
12/22/2022,0.076864,0.07372,0.077563,0.073294,2.18B,4.25%
12/23/2022,0.077203,0.076864,0.078862,0.076576,1.55B,0.44%
12/24/2022,0.077529,0.077206,0.07802,0.07669,562.87M,0.42%
12/25/2022,0.076009,0.077525,0.077653,0.073927,1.68B,-1.96%
12/26/2022,0.075679,0.076009,0.076484,0.074613,888.95M,-0.43%
12/27/2022,0.073704,0.075672,0.076088,0.072824,1.04B,-2.61%
12/28/2022,0.070382,0.073704,0.073848,0.06961,2.31B,-4.51%
12/29/2022,0.070952,0.070376,0.071441,0.069455,1.16B,0.81%
12/30/2022,0.068395,0.070933,0.071405,0.066392,1.86B,-3.60%
12/31/2022,0.070144,0.068392,0.071239,0.067988,1.18B,2.56%
1/1/2023,0.070237,0.070169,0.070783,0.069075,723.17M,0.13%
1/2/2023,0.07138,0.070218,0.073037,0.069098,1.68B,1.63%
1/3/2023,0.070477,0.071382,0.072275,0.069617,1.11B,-1.26%
1/4/2023,0.073147,0.070473,0.073394,0.070209,1.28B,3.79%
1/5/2023,0.071485,0.07314,0.075177,0.071085,1.72B,-2.27%
1/6/2023,0.07242,0.071485,0.072663,0.069947,1.26B,1.31%
1/7/2023,0.072156,0.07242,0.072949,0.071684,587.15M,-0.36%
1/8/2023,0.073574,0.07216,0.073902,0.07131,954.11M,1.96%
1/9/2023,0.075655,0.073565,0.079454,0.073031,3.32B,2.83%
1/10/2023,0.077807,0.075655,0.077807,0.074126,1.97B,2.84%
1/11/2023,0.07813,0.077807,0.078372,0.074894,1.52B,0.42%
1/12/2023,0.080287,0.07813,0.081125,0.075406,2.68B,2.76%
1/13/2023,0.084515,0.080287,0.085061,0.078972,1.94B,5.27%
1/14/2023,0.087368,0.084519,0.092126,0.084186,3.61B,3.38%
1/15/2023,0.086112,0.087297,0.08777,0.082923,1.61B,-1.44%
1/16/2023,0.083687,0.086111,0.088064,0.081928,1.82B,-2.82%
1/17/2023,0.082799,0.083687,0.08489,0.082382,1.06B,-1.06%
1/18/2023,0.080059,0.082806,0.089473,0.079614,3.26B,-3.31%
1/19/2023,0.081613,0.080042,0.082122,0.079946,1.03B,1.94%
1/20/2023,0.086305,0.081607,0.086979,0.080688,1.36B,5.75%
1/21/2023,0.084605,0.086296,0.088987,0.08437,2.24B,-1.97%
1/22/2023,0.08824,0.084605,0.093162,0.084502,2.39B,4.30%
1/23/2023,0.088486,0.08824,0.091438,0.086869,2.00B,0.28%
1/24/2023,0.083857,0.088486,0.090749,0.083152,1.59B,-5.23%
1/25/2023,0.086584,0.083855,0.08804,0.081898,1.54B,3.25%
1/26/2023,0.086429,0.086543,0.087435,0.084829,1.14B,-0.18%
1/27/2023,0.087212,0.08644,0.087975,0.083999,1.11B,0.91%
1/28/2023,0.087772,0.087212,0.093131,0.086877,1.82B,0.64%
1/29/2023,0.090147,0.087772,0.090991,0.087342,1.35B,2.71%
1/30/2023,0.088386,0.090147,0.092611,0.085046,2.50B,-1.95%
1/31/2023,0.096096,0.088385,0.097679,0.088307,4.52B,8.72%
2/1/2023,0.093957,0.096109,0.096882,0.088379,3.29B,-2.23%
2/2/2023,0.090914,0.093948,0.09582,0.090279,2.13B,-3.24%
2/3/2023,0.092876,0.090976,0.093325,0.09039,1.49B,2.16%
2/4/2023,0.095672,0.092877,0.099721,0.092552,3.02B,3.01%
2/5/2023,0.092083,0.095679,0.096899,0.090594,2.10B,-3.75%
2/6/2023,0.089463,0.092083,0.093233,0.088828,1.27B,-2.85%
2/7/2023,0.092537,0.089549,0.092728,0.089458,1.14B,3.44%
2/8/2023,0.09017,0.092537,0.093308,0.088645,1.10B,-2.56%
2/9/2023,0.081454,0.09017,0.090927,0.079612,2.36B,-9.67%
2/10/2023,0.080922,0.081454,0.082946,0.07982,1.45B,-0.65%
2/11/2023,0.08225,0.080924,0.082563,0.080682,549.61M,1.64%
2/12/2023,0.082192,0.082255,0.085786,0.08125,1.25B,-0.07%
2/13/2023,0.082032,0.082192,0.086367,0.079586,2.24B,-0.19%
2/14/2023,0.083554,0.082033,0.08369,0.080419,1.14B,1.85%
2/15/2023,0.089283,0.083555,0.089572,0.082673,2.54B,6.86%
2/16/2023,0.08496,0.089272,0.091886,0.084773,2.39B,-4.84%
2/17/2023,0.087689,0.084901,0.088484,0.084393,1.10B,3.21%
2/18/2023,0.088822,0.087703,0.090356,0.086793,978.84M,1.29%
2/19/2023,0.087069,0.088822,0.089859,0.086073,1.29B,-1.97%
2/20/2023,0.08829,0.087084,0.088669,0.085352,1.17B,1.40%
2/21/2023,0.085457,0.08829,0.088759,0.084573,1.32B,-3.21%
2/22/2023,0.085463,0.085457,0.087578,0.08289,2.30B,0.01%
2/23/2023,0.084254,0.085463,0.086392,0.083568,960.36M,-1.41%
2/24/2023,0.080875,0.084245,0.08497,0.07939,1.31B,-4.01%
2/25/2023,0.080742,0.080877,0.081993,0.078583,926.68M,-0.16%
2/26/2023,0.082219,0.080742,0.082567,0.080434,583.64M,1.83%
2/27/2023,0.081333,0.082214,0.082256,0.079979,751.01M,-1.08%
2/28/2023,0.080792,0.081354,0.083037,0.079929,1.11B,-0.66%
3/1/2023,0.081945,0.080809,0.082821,0.080298,621.10M,1.43%
3/2/2023,0.08054,0.081944,0.082257,0.079635,568.70M,-1.71%
3/3/2023,0.076811,0.080552,0.080607,0.073579,1.84B,-4.63%
3/4/2023,0.07466,0.076838,0.077212,0.072659,734.67M,-2.80%
3/5/2023,0.074756,0.074657,0.076039,0.074301,619.49M,0.13%
3/6/2023,0.074783,0.074756,0.075115,0.073332,806.82M,0.04%
3/7/2023,0.074029,0.07479,0.07596,0.072439,1.00B,-1.01%
3/8/2023,0.07112,0.07403,0.074305,0.070308,1.09B,-3.93%
3/9/2023,0.065974,0.071104,0.072269,0.064118,2.23B,-7.24%
3/10/2023,0.065794,0.065995,0.066144,0.062686,1.79B,-0.27%
3/11/2023,0.066185,0.065794,0.068312,0.063401,1.51B,0.59%
3/12/2023,0.070587,0.066185,0.070816,0.065486,1.25B,6.65%
3/13/2023,0.072862,0.070603,0.073532,0.068274,1.75B,3.22%
3/14/2023,0.074665,0.072862,0.07755,0.071217,2.05B,2.47%
3/15/2023,0.069682,0.07464,0.075918,0.067488,1.91B,-6.67%
3/16/2023,0.072567,0.069681,0.074004,0.068919,1.25B,4.14%
3/17/2023,0.076421,0.072588,0.077228,0.071528,1.66B,5.31%
3/18/2023,0.072959,0.076443,0.078775,0.072531,1.91B,-4.53%
3/19/2023,0.074462,0.072959,0.076498,0.072959,1.04B,2.06%
3/20/2023,0.071345,0.074541,0.075558,0.070528,1.37B,-4.19%
3/21/2023,0.076685,0.071342,0.077779,0.070404,1.97B,7.49%
3/22/2023,0.073851,0.076685,0.077821,0.071648,2.53B,-3.70%
3/23/2023,0.077387,0.073843,0.078919,0.072986,2.18B,4.79%
3/24/2023,0.074573,0.077387,0.077498,0.073103,1.15B,-3.64%
3/25/2023,0.074055,0.074573,0.075966,0.072577,828.97M,-0.69%
3/26/2023,0.074377,0.07406,0.075391,0.073404,633.05M,0.43%
3/27/2023,0.072863,0.074375,0.07596,0.071345,1.43B,-2.03%
3/28/2023,0.07376,0.072865,0.074025,0.071746,845.61M,1.23%
3/29/2023,0.075617,0.073807,0.076822,0.073512,1.27B,2.52%
3/30/2023,0.074226,0.075613,0.076767,0.073506,1.09B,-1.84%
3/31/2023,0.076984,0.074226,0.077803,0.073524,1.05B,3.72%
4/1/2023,0.081822,0.076982,0.083261,0.075934,2.28B,6.28%
4/2/2023,0.079023,0.081822,0.085483,0.077413,2.65B,-3.42%
4/3/2023,0.09604,0.079022,0.10406,0.076252,10.60B,21.53%
4/4/2023,0.095163,0.09604,0.103232,0.09233,8.93B,-0.91%
4/5/2023,0.092715,0.095163,0.099134,0.091265,4.23B,-2.57%
4/6/2023,0.08541,0.092717,0.092717,0.084748,4.19B,-7.88%
4/7/2023,0.082243,0.085415,0.086143,0.081623,2.81B,-3.71%
4/8/2023,0.081359,0.082232,0.083827,0.080629,1.49B,-1.07%
4/9/2023,0.083197,0.081359,0.083846,0.081194,1.14B,2.26%
4/10/2023,0.084797,0.083194,0.085402,0.082332,1.24B,1.92%
4/11/2023,0.08413,0.084794,0.085791,0.083623,1.29B,-0.79%
4/12/2023,0.083398,0.084133,0.084487,0.081099,2.19B,-0.87%
4/13/2023,0.087344,0.083406,0.08879,0.082866,2.35B,4.73%
4/14/2023,0.088707,0.087344,0.091169,0.085505,2.90B,1.56%
4/15/2023,0.08889,0.088684,0.090512,0.087233,1.13B,0.21%
4/16/2023,0.090465,0.088894,0.091754,0.087765,1.53B,1.77%
4/17/2023,0.091392,0.09047,0.094702,0.088289,3.73B,1.02%
4/18/2023,0.093953,0.091394,0.094664,0.089817,2.23B,2.80%
4/19/2023,0.087892,0.093951,0.094129,0.085836,3.69B,-6.45%
4/20/2023,0.083894,0.087892,0.093238,0.082759,5.81B,-4.55%
4/21/2023,0.078427,0.083894,0.084663,0.077244,2.78B,-6.52%
4/22/2023,0.08027,0.078427,0.080936,0.078187,1.04B,2.35%
4/23/2023,0.078778,0.08027,0.080729,0.076911,995.77M,-1.86%
4/24/2023,0.07875,0.078778,0.080006,0.077237,1.05B,-0.04%
4/25/2023,0.079745,0.078744,0.079944,0.077568,882.19M,1.26%
4/26/2023,0.078608,0.079745,0.083459,0.0753,2.38B,-1.43%
4/27/2023,0.080137,0.078592,0.080922,0.0784,1.34B,1.94%
4/28/2023,0.080334,0.080137,0.080601,0.079233,642.71M,0.25%
4/29/2023,0.081576,0.080332,0.081909,0.080205,723.16M,1.55%
4/30/2023,0.079462,0.081576,0.081693,0.079283,720.75M,-2.59%
5/1/2023,0.078824,0.079462,0.080007,0.07739,933.49M,-0.80%
5/2/2023,0.078774,0.078823,0.07907,0.077674,589.72M,-0.06%
5/3/2023,0.079598,0.078774,0.080652,0.077172,865.38M,1.05%
5/4/2023,0.07839,0.079603,0.079702,0.077972,709.51M,-1.52%
5/5/2023,0.080201,0.07839,0.081456,0.077674,1.07B,2.31%
5/6/2023,0.076741,0.080203,0.080454,0.07591,1.14B,-4.31%
5/7/2023,0.076502,0.076741,0.077487,0.076277,615.95M,-0.31%
5/8/2023,0.072415,0.076502,0.077086,0.070287,1.49B,-5.34%
5/9/2023,0.073114,0.072416,0.073341,0.07213,770.90M,0.97%
5/10/2023,0.073154,0.073115,0.074658,0.070594,1.19B,0.05%
5/11/2023,0.071955,0.07313,0.07316,0.069324,1.18B,-1.64%
5/12/2023,0.072369,0.071957,0.072616,0.069362,1.29B,0.58%
5/13/2023,0.071665,0.072367,0.072398,0.071357,434.51M,-0.97%
5/14/2023,0.071967,0.071666,0.072629,0.071219,363.44M,0.42%
5/15/2023,0.071953,0.071967,0.073549,0.070961,728.58M,-0.02%
5/16/2023,0.072751,0.071952,0.073238,0.070924,578.78M,1.11%
5/17/2023,0.074784,0.072751,0.075424,0.07234,1.09B,2.79%
5/18/2023,0.07343,0.074833,0.074892,0.071695,1.06B,-1.81%
5/19/2023,0.073494,0.07343,0.074024,0.07303,484.32M,0.09%
5/20/2023,0.073629,0.073494,0.073846,0.073085,289.95M,0.18%
5/21/2023,0.072114,0.073628,0.073979,0.071991,409.63M,-2.06%
5/22/2023,0.07292,0.072114,0.073976,0.07099,651.39M,1.12%
5/23/2023,0.07288,0.07292,0.073901,0.072465,471.06M,-0.05%
5/24/2023,0.070656,0.072877,0.072881,0.069765,814.18M,-3.05%
5/25/2023,0.070884,0.07065,0.071011,0.06889,652.66M,0.32%
5/26/2023,0.070962,0.070882,0.071349,0.070382,558.07M,0.11%
5/27/2023,0.072608,0.070962,0.073366,0.070839,474.84M,2.32%
5/28/2023,0.073537,0.072608,0.073959,0.071889,564.40M,1.28%
5/29/2023,0.073135,0.073537,0.073975,0.072721,414.39M,-0.55%
5/30/2023,0.072312,0.073136,0.073449,0.072153,682.57M,-1.12%
5/31/2023,0.071661,0.072312,0.072673,0.070738,574.92M,-0.90%
6/1/2023,0.071434,0.071659,0.072173,0.070783,485.33M,-0.32%
6/2/2023,0.072571,0.071427,0.073268,0.071052,519.35M,1.59%
6/3/2023,0.072708,0.072571,0.072974,0.072207,297.37M,0.19%
6/4/2023,0.072487,0.072709,0.073299,0.072368,361.80M,-0.30%
6/5/2023,0.066441,0.072481,0.072684,0.063674,1.74B,-8.34%
6/6/2023,0.07025,0.066441,0.071971,0.065983,1.49B,5.73%
6/7/2023,0.067284,0.07025,0.070291,0.066743,903.49M,-4.22%
6/8/2023,0.067941,0.067284,0.068448,0.066998,523.93M,0.98%
6/9/2023,0.069462,0.067941,0.071069,0.067451,914.85M,2.24%
6/10/2023,0.061765,0.069462,0.070869,0.055888,3.58B,-11.08%
6/11/2023,0.061528,0.061765,0.062847,0.061089,875.00M,-0.38%
6/12/2023,0.061436,0.061528,0.06169,0.06009,788.59M,-0.15%
6/13/2023,0.061726,0.061436,0.062642,0.060637,721.04M,0.47%
6/14/2023,0.060413,0.061725,0.062178,0.058498,988.86M,-2.13%
6/15/2023,0.061509,0.060413,0.061948,0.059738,774.12M,1.81%
6/16/2023,0.062172,0.06151,0.062744,0.06091,736.34M,1.08%
6/17/2023,0.062193,0.062172,0.062927,0.061778,544.38M,0.03%
6/18/2023,0.062107,0.062193,0.063901,0.061409,938.05M,-0.14%
6/19/2023,0.062429,0.062107,0.062755,0.061574,533.66M,0.52%
6/20/2023,0.063108,0.062429,0.063108,0.060782,696.97M,1.09%
6/21/2023,0.065644,0.063108,0.066737,0.062845,1.42B,4.02%
6/22/2023,0.065567,0.065642,0.069278,0.065427,1.49B,-0.12%
6/23/2023,0.06822,0.065567,0.069946,0.065365,1.27B,4.05%
6/24/2023,0.066708,0.068224,0.068415,0.065442,1.10B,-2.22%
6/25/2023,0.066704,0.066708,0.067992,0.066437,694.42M,0.00%
6/26/2023,0.064767,0.066719,0.066814,0.063505,1.19B,-2.90%
6/27/2023,0.06556,0.064757,0.065756,0.064483,857.15M,1.22%
6/28/2023,0.062547,0.06556,0.065892,0.060681,1.10B,-4.60%
6/29/2023,0.063421,0.06255,0.064079,0.062441,744.75M,1.40%
6/30/2023,0.066535,0.063421,0.066839,0.062026,1.98B,4.91%
7/1/2023,0.068503,0.066492,0.071131,0.066403,2.02B,2.96%
7/2/2023,0.067975,0.068503,0.068978,0.06607,1.31B,-0.77%
7/3/2023,0.068413,0.067975,0.068782,0.067339,883.99M,0.64%
7/4/2023,0.068913,0.068441,0.071739,0.067817,1.67B,0.73%
7/5/2023,0.067013,0.068913,0.069215,0.065656,965.54M,-2.76%
7/6/2023,0.06488,0.06701,0.068518,0.064748,982.49M,-3.18%
7/7/2023,0.065405,0.064882,0.065855,0.064212,693.76M,0.81%
7/8/2023,0.065734,0.065405,0.066072,0.064763,484.92M,0.50%
7/9/2023,0.065364,0.065734,0.06635,0.065203,447.70M,-0.56%
7/10/2023,0.065233,0.065362,0.066148,0.063728,960.79M,-0.20%
7/11/2023,0.065269,0.065233,0.065483,0.064427,502.95M,0.06%
7/12/2023,0.065031,0.065271,0.065619,0.063864,527.94M,-0.36%
7/13/2023,0.070395,0.065031,0.071629,0.064585,2.24B,8.25%
7/14/2023,0.068517,0.070382,0.072979,0.066653,2.38B,-2.67%
7/15/2023,0.071951,0.068505,0.074861,0.067728,3.44B,5.01%
7/16/2023,0.06953,0.071951,0.072213,0.06907,1.50B,-3.36%
7/17/2023,0.069836,0.06953,0.073065,0.067964,1.84B,0.44%
7/18/2023,0.068665,0.069835,0.070309,0.067291,1.06B,-1.68%
7/19/2023,0.070033,0.068663,0.071396,0.068327,1.62B,1.99%
7/20/2023,0.070578,0.070031,0.073822,0.069374,2.25B,0.78%
7/21/2023,0.073136,0.070586,0.076687,0.070288,2.71B,3.62%
7/22/2023,0.070481,0.073225,0.073288,0.069806,1.27B,-3.63%
7/23/2023,0.071785,0.07049,0.072896,0.070053,998.34M,1.85%
7/24/2023,0.074199,0.071788,0.077514,0.070272,4.83B,3.36%
7/25/2023,0.081847,0.0742,0.0837,0.073638,5.29B,10.31%
7/26/2023,0.077948,0.081852,0.082251,0.076873,3.22B,-4.76%
7/27/2023,0.077616,0.077947,0.079824,0.076697,1.89B,-0.43%
7/28/2023,0.077177,0.077616,0.077875,0.076086,1.28B,-0.57%
7/29/2023,0.080109,0.077179,0.081404,0.076893,1.67B,3.80%
7/30/2023,0.078021,0.080127,0.080492,0.076577,1.48B,-2.61%
7/31/2023,0.077831,0.078021,0.079752,0.076846,1.24B,-0.24%
8/1/2023,0.078132,0.07783,0.078248,0.075771,1.27B,0.39%
8/2/2023,0.074214,0.078129,0.078277,0.073858,1.30B,-5.01%
8/3/2023,0.073584,0.074217,0.07499,0.072809,1.24B,-0.85%
8/4/2023,0.073453,0.073585,0.074882,0.072734,1.13B,-0.18%
8/5/2023,0.075703,0.073453,0.076885,0.072918,1.64B,3.06%
8/6/2023,0.074255,0.075704,0.076445,0.074166,1.17B,-1.91%
8/7/2023,0.073537,0.074255,0.075659,0.071923,1.19B,-0.97%
8/8/2023,0.074973,0.073535,0.07547,0.073205,1.09B,1.95%
8/9/2023,0.075398,0.074969,0.076159,0.07424,1.01B,0.57%
8/10/2023,0.075868,0.075398,0.076902,0.075146,1.12B,0.62%
8/11/2023,0.075716,0.075864,0.076096,0.075094,752.19M,-0.20%
8/12/2023,0.076701,0.075723,0.077334,0.075609,1.10B,1.30%
8/13/2023,0.074799,0.076701,0.076869,0.074327,964.29M,-2.48%
8/14/2023,0.074687,0.074782,0.076942,0.073785,1.32B,-0.15%
8/15/2023,0.070933,0.074687,0.074962,0.069041,1.48B,-5.03%
8/16/2023,0.067209,0.070933,0.071228,0.066133,1.62B,-5.25%
8/17/2023,0.061029,0.067207,0.068393,0.056911,2.66B,-9.20%
8/18/2023,0.063239,0.060999,0.063817,0.060002,2.08B,3.62%
8/19/2023,0.063792,0.063251,0.064444,0.063105,934.53M,0.87%
8/20/2023,0.063837,0.063793,0.064686,0.063416,794.50M,0.07%
8/21/2023,0.062511,0.063837,0.064098,0.060543,1.16B,-2.08%
8/22/2023,0.062571,0.062511,0.063248,0.060545,1.21B,0.10%
8/23/2023,0.063797,0.062566,0.064771,0.062468,1.28B,1.96%
8/24/2023,0.063075,0.063797,0.064039,0.062053,897.94M,-1.13%
8/25/2023,0.063118,0.063069,0.063141,0.061786,803.55M,0.07%
8/26/2023,0.06289,0.063118,0.063367,0.062637,470.52M,-0.36%
8/27/2023,0.063176,0.06289,0.063633,0.062702,548.70M,0.45%
8/28/2023,0.063447,0.063174,0.063635,0.062072,658.65M,0.43%
8/29/2023,0.066413,0.063447,0.06826,0.062425,1.79B,4.68%
8/30/2023,0.065892,0.066401,0.066451,0.064517,1.14B,-0.78%
8/31/2023,0.063756,0.065891,0.066981,0.062918,1.49B,-3.24%
9/1/2023,0.063886,0.063756,0.064206,0.062378,1.08B,0.20%
9/2/2023,0.063475,0.063883,0.064772,0.06278,930.48M,-0.64%
9/3/2023,0.063148,0.063475,0.063763,0.062799,648.14M,-0.52%
9/4/2023,0.063255,0.063148,0.063822,0.062274,713.59M,0.17%
9/5/2023,0.064019,0.063253,0.064327,0.062893,961.58M,1.21%
9/6/2023,0.063641,0.064017,0.064598,0.062724,961.04M,-0.59%
9/7/2023,0.063651,0.063641,0.063826,0.062796,737.47M,0.01%
9/8/2023,0.063691,0.063651,0.063973,0.062487,661.05M,0.06%
9/9/2023,0.063377,0.063694,0.063893,0.063255,380.21M,-0.49%
9/10/2023,0.06131,0.063377,0.063395,0.060468,1.03B,-3.26%
9/11/2023,0.06048,0.06131,0.061975,0.059406,1.24B,-1.35%
9/12/2023,0.060882,0.060479,0.062297,0.060433,1.15B,0.66%
9/13/2023,0.061259,0.060882,0.061706,0.060504,932.90M,0.62%
9/14/2023,0.062093,0.061258,0.062432,0.061092,920.64M,1.36%
9/15/2023,0.062499,0.062093,0.062925,0.06139,642.87M,0.65%
9/16/2023,0.062131,0.062498,0.062946,0.061771,548.81M,-0.59%
9/17/2023,0.061476,0.06213,0.062539,0.061065,627.17M,-1.05%
9/18/2023,0.061987,0.061476,0.062798,0.060992,1.03B,0.83%
9/19/2023,0.062688,0.061987,0.063213,0.061902,1.05B,1.13%
9/20/2023,0.062625,0.062687,0.063007,0.061755,953.06M,-0.10%
9/21/2023,0.061311,0.062624,0.0634,0.061121,1.08B,-2.10%
9/22/2023,0.061521,0.061311,0.061867,0.060821,725.47M,0.34%
9/23/2023,0.061516,0.061525,0.061951,0.061289,469.12M,-0.01%
9/24/2023,0.06069,0.061516,0.061737,0.060537,434.05M,-1.34%
9/25/2023,0.06094,0.060687,0.061221,0.060249,396.47M,0.41%
9/26/2023,0.060609,0.060942,0.061124,0.059705,400.87M,-0.54%
9/27/2023,0.060515,0.060609,0.061378,0.06018,844.22M,-0.16%
9/28/2023,0.061496,0.060515,0.061656,0.060367,564.83M,1.62%
9/29/2023,0.062132,0.061493,0.06235,0.06131,492.51M,1.03%
9/30/2023,0.062072,0.062132,0.062675,0.061732,450.75M,-0.10%
10/1/2023,0.06318,0.062072,0.063556,0.061743,601.71M,1.79%
10/2/2023,0.062007,0.06318,0.064054,0.061473,1.52B,-1.86%
10/3/2023,0.061374,0.06201,0.062289,0.06114,842.74M,-1.02%
10/4/2023,0.061467,0.061374,0.061577,0.060172,444.53M,0.15%
10/5/2023,0.06085,0.061467,0.061648,0.06077,311.88M,-1.00%
10/6/2023,0.061366,0.06085,0.061549,0.060741,366.35M,0.85%
10/7/2023,0.061425,0.061366,0.061656,0.061055,421.86M,0.09%
10/8/2023,0.060957,0.061424,0.061592,0.060743,340.19M,-0.76%
10/9/2023,0.058727,0.060958,0.060996,0.057764,1.08B,-3.66%
10/10/2023,0.059133,0.058728,0.059231,0.058476,495.05M,0.69%
10/11/2023,0.058511,0.059136,0.059472,0.057698,633.47M,-1.05%
